pcode,name,hierarchy,parent_pcode
PH037704001,Abuleg,ASM4,PH037704000
PH098307001,Abunda,ASM4,PH098307000
PH104317001,Abunda,ASM4,PH104317000
PH041023001,Abung,ASM4,PH041023000
PH103504001,Abuno,ASM4,PH103504000
PH012914001,Abuor,ASM4,PH012914000
PH013314001,Abut,ASM4,PH013314000
PH023122001,Abut,ASM4,PH023122000
PH025015001,Abuyo,ASM4,PH025015000
PH056216001,Abuyog,ASM4,PH056216000
PH083724001,Abuyogay,ASM4,PH083724000
PH083710001,Abuyogon,ASM4,PH083710000
PH045644001,Abuyon,ASM4,PH045644000
PH087805001,Acaban,ASM4,PH087805000
PH025010001,Acacia,ASM4,PH025010000
PH042118049,Acacia,ASM4,PH042118000
PH112402001,Acacia,ASM4,PH112402000
PH137502001,Acacia,ASM4,PH137502000
PH084805062,Acacia (Pob.),ASM4,PH084805000
PH097302001,Acad,ASM4,PH097302000
PH013307001,Acao,ASM4,PH013307000
PH063012001,Acao,ASM4,PH063012000
PH086407065,Acasia,ASM4,PH086407000
PH061916001,Acbo,ASM4,PH061916000
PH021528001,Accusilian,ASM4,PH021528000
PH084823001,Acedillo,ASM4,PH084823000
PH086003002,Acedillo,ASM4,PH086003000
PH084803001,Acerida,ASM4,PH084803000
PH043429001,Acevida,ASM4,PH043429000
PH098315001,Achasol,ASM4,PH098315000
PH071246001,Achila,ASM4,PH071246000
PH143209001,Aciga,ASM4,PH143209000
PH160209001,Aclan,ASM4,PH160209000
PH041034001,Acle,ASM4,PH041034000
PH035413001,Acli,ASM4,PH035413000
PH103504038,Acmac,ASM4,PH103504000
PH126317001,Acmonan,ASM4,PH126317000
PH012814001,Acnam,ASM4,PH012814000
PH036910002,Acocolao,ASM4,PH036910000
PH015531001,Acop,ASM4,PH015531000
PH012805022,Acosta Pob. (Iloilo),ASM4,PH012805000
PH074605001,Actin,ASM4,PH074605000
PH063007001,Acuit,ASM4,PH063007000
PH061917002,Acuña,ASM4,PH061917000
PH083748001,Ada,ASM4,PH083748000
PH012801001,Adams (Pob.),ASM4,PH012801000
PH097209001,Adante,ASM4,PH097209000
PH021506001,Adaoag,ASM4,PH021506000
PH141107001,Adaoay,ASM4,PH141107000
PH153831001,Adaon,ASM4,PH153831000
PH103502002,Adapun-Ali (Dariat),ASM4,PH103502000
PH063001001,Adcadarao,ASM4,PH063001000
PH023115002,Addalam,ASM4,PH023115000
PH137401001,Addition Hills,ASM4,PH137401000
PH137405001,Addition Hills,ASM4,PH137405000
PH112317001,Adecor,ASM4,PH112317000
PH072238001,Adela,ASM4,PH072238000
PH175108001,Adela,ASM4,PH175108000
PH086007094,Adela Heights (Pob.),ASM4,PH086007000
PH063046001,Adgao,ASM4,PH063046000
PH041001001,Adia,ASM4,PH041001000
PH043427001,Adia,ASM4,PH043427000
PH045619001,Adia Bitaog,ASM4,PH045619000
PH051733001,Adiangao,ASM4,PH051733000
PH156601001,Adjid,ASM4,PH156601000
PH072217001,Adlaon,ASM4,PH072217000
PH042118001,Adlas,ASM4,PH042118000
PH061914001,Adlawan,ASM4,PH061914000
PH071247001,Adlawan,ASM4,PH071247000
