pcode,name,hierarchy,parent_pcode
PH150705001,Bacung,ASM4,PH150705000
PH045622001,Bacungan,ASM4,PH045622000
PH112407001,Bacungan,ASM4,PH112407000
PH175208006,Bacungan,ASM4,PH175208000
PH175209002,Bacungan,ASM4,PH175209000
PH175210002,Bacungan,ASM4,PH175210000
PH175316002,Bacungan,ASM4,PH175316000
PH097226001,Bacungan (Pob.),ASM4,PH097226000
PH063035009,Bacuranan,ASM4,PH063035000
PH101316002,Bacusanon,ASM4,PH101316000
PH064512003,Bacuyangan,ASM4,PH064512000
PH097209002,Bacuyong,ASM4,PH097209000
PH060410003,Bacyang,ASM4,PH060410000
PH086004002,Bacyaran,ASM4,PH086004000
PH063040004,Bad-as,ASM4,PH063040000
PH166717004,Bad-as,ASM4,PH166717000
PH153605001,Badak,ASM4,PH153605000
PH153623001,Badak,ASM4,PH153623000
PH153807003,Badak,ASM4,PH153807000
PH153819001,Badak,ASM4,PH153819000
PH153615004,Badak Lumao,ASM4,PH153615000
PH112509001,Badas,ASM4,PH112509000
PH140122003,Badas,ASM4,PH140122000
PH050512001,Badbad,ASM4,PH050512000
PH071230002,Badbad Occidental,ASM4,PH071230000
PH071230003,Badbad Oriental,ASM4,PH071230000
PH148104001,Badduat,ASM4,PH148104000
PH141109001,Badeo,ASM4,PH141109000
PH050512002,Badian,ASM4,PH050512000
PH054105003,Badiang,ASM4,PH054105000
PH060613002,Badiang,ASM4,PH060613000
PH063003002,Badiang,ASM4,PH063003000
PH063032002,Badiang,ASM4,PH063032000
PH063046007,Badiang,ASM4,PH063046000
PH071203003,Badiang,ASM4,PH071203000
PH071224003,Badiang,ASM4,PH071224000
PH071241003,Badiang,ASM4,PH071241000
PH083723003,Badiang,ASM4,PH083723000
PH086407005,Badiang,ASM4,PH086407000
PH086411001,Badiang,ASM4,PH086411000
PH060403003,Badiangan,ASM4,PH060403000
PH060611002,Badiangan,ASM4,PH060611000
PH060612005,Badiangan,ASM4,PH060612000
PH063001003,Badiangan,ASM4,PH063001000
PH063025004,Badiangan,ASM4,PH063025000
PH063031004,Badiangan,ASM4,PH063031000
PH083744002,Badiangay,ASM4,PH083744000
PH061913002,Badiangon,ASM4,PH061913000
PH086403002,Badiangon,ASM4,PH086403000
PH124718003,Badiangon,ASM4,PH124718000
PH126509002,Badiangon,ASM4,PH126509000
PH160202014,Bading Pob. (Bgy. 22),ASM4,PH160202000
PH012819003,Badio,ASM4,PH012819000
PH060416003,Badio,ASM4,PH060416000
PH150706002,Badja,ASM4,PH150706000
PH063013007,Badlan Grande,ASM4,PH063013000
PH063013008,Badlan Pequeño,ASM4,PH063013000
PH054121004,Badling,ASM4,PH054121000
PH143213033,Bado Dangwa,ASM4,PH143213000
PH166818004,Badong,ASM4,PH166818000
PH128003001,Badtasan,ASM4,PH128003000
PH063013009,Badu,ASM4,PH063013000
PH012815003,Baduang,ASM4,PH012815000
PH072246002,Bae,ASM4,PH072246000
PH074612004,Bae,ASM4,PH074612000
PH137404005,Baesa,ASM4,PH137404000
PH104203002,Bag-ong Anonang,ASM4,PH104203000
PH097315001,Bag-ong Balamban,ASM4,PH097315000
PH097340001,Bag-ong Baroy,ASM4,PH097340000
PH061917009,Bag-Ong Barrio,ASM4,PH061917000
PH097315002,Bag-ong Dalaguete,ASM4,PH097315000
PH097328002,Bag-ong Kauswagan,ASM4,PH097328000
PH097307001,Bag-ong Misamis,ASM4,PH097307000
PH097325001,Bag-ong Misamis,ASM4,PH097325000
PH097340002,Bag-ong Oroquieta,ASM4,PH097340000
PH097307003,Bag-ong Silao,ASM4,PH097307000
PH097328004,Bag-ong Tabogon,ASM4,PH097328000
PH097308002,Bag-ong Valencia,ASM4,PH097308000
PH086011021,Bag-otan,ASM4,PH086011000
PH097307002,Baga,ASM4,PH097307000
PH098309002,Baga,ASM4,PH098309000
PH104211001,Baga,ASM4,PH104211000
PH064511025,Baga-as,ASM4,PH064511000
PH083729003,Bagaba-o,ASM4,PH083729000
PH023136003,Bagabag,ASM4,PH023136000
PH045622002,Bagacay,ASM4,PH045622000
PH050505003,Bagacay,ASM4,PH050505000
PH051606004,Bagacay,ASM4,PH051606000
PH051718003,Bagacay,ASM4,PH051718000
PH051733002,Bagacay,ASM4,PH051733000
PH051737003,Bagacay,ASM4,PH051737000
PH054113002,Bagacay,ASM4,PH054113000
PH054119002,Bagacay,ASM4,PH054119000
PH056202003,Bagacay,ASM4,PH056202000
PH056204001,Bagacay,ASM4,PH056204000
PH056208002,Bagacay,ASM4,PH056208000
PH060406007,Bagacay,ASM4,PH060406000
PH060606002,Bagacay,ASM4,PH060606000
PH061909005,Bagacay,ASM4,PH061909000
PH063021004,Bagacay,ASM4,PH063021000
PH063035010,Bagacay,ASM4,PH063035000
PH063037003,Bagacay,ASM4,PH063037000
PH063038003,Bagacay,ASM4,PH063038000
PH063042002,Bagacay,ASM4,PH063042000
PH063045003,Bagacay,ASM4,PH063045000
PH071234002,Bagacay,ASM4,PH071234000
PH071243001,Bagacay,ASM4,PH071243000
PH072213001,Bagacay,ASM4,PH072213000
PH072246003,Bagacay,ASM4,PH072246000
PH076102001,Bagacay,ASM4,PH076102000
PH082617002,Bagacay,ASM4,PH082617000
PH083701004,Bagacay,ASM4,PH083701000
PH083743001,Bagacay,ASM4,PH083743000
PH084809002,Bagacay,ASM4,PH084809000
PH084814002,Bagacay,ASM4,PH084814000
PH086003008,Bagacay,ASM4,PH086003000
PH086006005,Bagacay,ASM4,PH086006000
PH086008001,Bagacay,ASM4,PH086008000
PH097217001,Bagacay,ASM4,PH097217000
PH128001002,Bagacay,ASM4,PH128001000
PH174002001,Bagacay,ASM4,PH174002000
PH175910009,Bagacay,ASM4,PH175910000
PH064505003,Bagacay,ASM4,PH064505000
PH074609003,Bagacay,ASM4,PH074609000
PH074610001,Bagacay,ASM4,PH074610000
PH063029006,Bagacay East,ASM4,PH063029000
PH083728001,Bagacay East,ASM4,PH083728000
PH071230004,Bagacay Katipunan,ASM4,PH071230000
PH071230005,Bagacay Kawayan,ASM4,PH071230000
PH071230006,Bagacay Saong,ASM4,PH071230000
PH063029007,Bagacay West,ASM4,PH063029000
PH083728002,Bagacay West,ASM4,PH083728000
PH063021005,Bagacayan,ASM4,PH063021000
PH051718004,Bagadion,ASM4,PH051718000
PH025013020,Bagahabag,ASM4,PH025013000
PH054119003,Bagahanglad,ASM4,PH054119000
PH072210002,Bagakay,ASM4,PH072210000
PH072247002,Bagakay,ASM4,PH072247000
PH072251002,Bagakay,ASM4,PH072251000
PH104210004,Bagakay,ASM4,PH104210000
PH166707001,Bagakay,ASM4,PH166707000
PH166708001,Bagakay (Alburo),ASM4,PH166708000
PH166706010,Bagakay (Pob. West),ASM4,PH166706000
PH041016003,Bagalangit,ASM4,PH041016000
PH140124001,Bagalay,ASM4,PH140124000
PH056206002,Bagalayag,ASM4,PH056206000
PH072218001,Bagalnga,ASM4,PH072218000
PH097312001,Bagalupa,ASM4,PH097312000
PH051718005,Bagamelon,ASM4,PH051718000
PH153825002,Bagan,ASM4,PH153825000
PH035412003,Bagang,ASM4,PH035412000
PH051719003,Bagangan Sr.,ASM4,PH051719000
PH012906005,Bagani Camposanto,ASM4,PH012906000
PH012906006,Bagani Gabor,ASM4,PH012906000
PH012906007,Bagani Tocgo,ASM4,PH012906000
PH012906008,Bagani Ubbog,ASM4,PH012906000
PH097327002,Baganian,ASM4,PH097327000
PH112402175,Baganihan,ASM4,PH112402000
PH098314002,Baganipay,ASM4,PH098314000
PH087806001,Baganito,ASM4,PH087806000
PH050515003,Bagaobawan,ASM4,PH050515000
PH012906009,Bagar,ASM4,PH012906000
PH072252005,Bagasawe,ASM4,PH072252000
PH051603003,Bagasbas,ASM4,PH051603000
PH084813001,Bagasbas,ASM4,PH084813000
PH052001003,Bagatabao,ASM4,PH052001000
PH050510002,Bagatangki,ASM4,PH050510000
PH072247003,Bagatayam,ASM4,PH072247000
PH054101004,Bagauma,ASM4,PH054101000
PH052006001,Bagawang,ASM4,PH052006000
PH074624001,Bagawines,ASM4,PH074624000
PH021529003,Bagay,ASM4,PH021529000
PH063021006,Bagay,ASM4,PH063021000
PH072221002,Bagay,ASM4,PH072221000
PH063044012,Bagaygay,ASM4,PH063044000
PH012822002,Bagbag,ASM4,PH012822000
PH013307004,Bagbag,ASM4,PH013307000
PH041031006,Bagbag,ASM4,PH041031000
PH137404006,Bagbag,ASM4,PH137404000
PH042117002,Bagbag I,ASM4,PH042117000
PH042117013,Bagbag II,ASM4,PH042117000
PH012822003,Bagbago,ASM4,PH012822000
PH150703018,Bagbagon,ASM4,PH150703000
PH012902001,Bagbagotot,ASM4,PH012902000
PH031412001,Bagbaguin,ASM4,PH031412000
PH031415001,Bagbaguin,ASM4,PH031415000
PH031423001,Bagbaguin,ASM4,PH031423000
PH137504002,Bagbaguin,ASM4,PH137504000
PH021510005,Baggao,ASM4,PH021510000
PH012907003,Baggoc,ASM4,PH012907000
PH060602002,Baghari,ASM4,PH060602000
PH153628039,Bagiangun,ASM4,PH153628000
PH157004015,Bagid*,ASM4,PH157004000
PH031410004,Bagna,ASM4,PH031410000
PH144402002,Bagnen Oriente,ASM4,PH144402000
PH144402003,Bagnen Proper,ASM4,PH144402000
PH023101005,Bagnos,ASM4,PH023101000
PH023103002,Bagnos,ASM4,PH023103000
PH012823005,Bago,ASM4,PH012823000
PH034910001,Bago,ASM4,PH034910000
PH041010001,Bago,ASM4,PH041010000
PH061914002,Bago,ASM4,PH061914000
PH071209003,Bago,ASM4,PH071209000
PH072206003,Bago,ASM4,PH072206000
PH083707005,Bago,ASM4,PH083707000
PH097218003,Bago,ASM4,PH097218000
PH074622002,Bago,ASM4,PH074622000
PH064532001,Bago (Lalung),ASM4,PH064532000
PH112402176,Bago Aplaya,ASM4,PH112402000
PH061909006,Bago Chiquito,ASM4,PH061909000
PH112402005,Bago Gallera,ASM4,PH112402000
PH061909007,Bago Grande,ASM4,PH061909000
PH112402006,Bago Oshiro,ASM4,PH112402000
PH153601002,Bagoaingud,ASM4,PH153601000
PH153602050,Bagoaingud,ASM4,PH153602000
PH153604003,Bagoaingud,ASM4,PH153604000
PH153606002,Bagoaingud,ASM4,PH153606000
PH153609001,Bagoaingud,ASM4,PH153609000
PH153613003,Bagoaingud,ASM4,PH153613000
PH153615006,Bagoaingud,ASM4,PH153615000
PH153619043,Bagoaingud,ASM4,PH153619000
PH153621002,Bagoaingud,ASM4,PH153621000
PH153624001,Bagoaingud,ASM4,PH153624000
PH153625002,Bagoaingud,ASM4,PH153625000
PH153629001,Bagoaingud,ASM4,PH153629000
PH153636004,Bagoaingud,ASM4,PH153636000
PH153638024,Bagoaingud,ASM4,PH153638000
PH124712001,Bagoaingud (Bagoinged),ASM4,PH124712000
PH104321002,Bagocboc,ASM4,PH104321000
PH153807004,Bagoenged,ASM4,PH153807000
PH153810001,Bagoenged,ASM4,PH153810000
PH051706001,Bagoladio,ASM4,PH051706000
PH051722002,Bagolatao,ASM4,PH051722000
PH086017004,Bagolibas,ASM4,PH086017000
PH124717001,Bagolibas,ASM4,PH124717000
PH064525001,Bagonawa,ASM4,PH064525000
PH064524001,Bagonbon,ASM4,PH064524000
PH083738002,Bagong,ASM4,PH083738000
PH141112002,Bagong,ASM4,PH141112000
PH153808002,Bagong,ASM4,PH153808000
PH043410002,Bagong Anyo (Pob.),ASM4,PH043410000
PH045615002,Bagong Anyo (Pob.),ASM4,PH045615000
PH097319003,Bagong Argao,ASM4,PH097319000
PH103505001,Bagong Badian,ASM4,PH103505000
PH097214002,Bagong Baguio,ASM4,PH097214000
PH031415002,Bagong Barrio,ASM4,PH031415000
PH031419006,Bagong Barrio,ASM4,PH031419000
PH034911004,Bagong Barrio,ASM4,PH034911000
PH060411004,Bagong Barrio,ASM4,PH060411000
PH031410005,Bagong Bayan,ASM4,PH031410000
PH051605001,Bagong Bayan,ASM4,PH051605000
PH052007003,Bagong Bayan,ASM4,PH052007000
PH175312001,Bagong Bayan,ASM4,PH175312000
PH175316003,Bagong Bayan,ASM4,PH175316000
PH175318003,Bagong Bayan,ASM4,PH175318000
PH045627020,Bagong Bayan (Pob.),ASM4,PH045627000
PH083707006,Bagong Bayan District (Pob.),ASM4,PH083707000
PH043424001,Bagong Bayan II-A (Pob.),ASM4,PH043424000
PH098302022,Bagong Borbon,ASM4,PH098302000
PH031420001,Bagong Buhay,ASM4,PH031420000
PH034903005,Bagong Buhay,ASM4,PH034903000
PH034904001,Bagong Buhay,ASM4,PH034904000
PH034919022,Bagong Buhay,ASM4,PH034919000
PH083738109,Bagong Buhay,ASM4,PH083738000
PH098301026,Bagong Buhay,ASM4,PH098301000
PH175208007,Bagong Buhay,ASM4,PH175208000
PH175215004,Bagong Buhay,ASM4,PH175215000
PH045619003,Bagong Buhay (Pob.),ASM4,PH045619000
PH031420020,Bagong Buhay II,ASM4,PH031420000
PH031420021,Bagong Buhay III,ASM4,PH031420000
PH104217001,Bagong Clarin,ASM4,PH104217000
PH103503002,Bagong Dawis,ASM4,PH103503000
PH034916007,Bagong Flores,ASM4,PH034916000
PH097319005,Bagong Gutlang,ASM4,PH097319000
PH137403001,Bagong Ilog,ASM4,PH137403000
PH097333002,Bagong Kahayag,ASM4,PH097333000
PH043405001,Bagong Kalsada,ASM4,PH043405000
PH042115001,Bagong Karsada,ASM4,PH042115000
PH137403002,Bagong Katipunan,ASM4,PH137403000
PH097308030,Bagong Kauswagan,ASM4,PH097308000
PH083715046,Bagong Lipunan,ASM4,PH083715000
PH083719049,Bagong Lipunan,ASM4,PH083719000
PH083734031,Bagong Lipunan,ASM4,PH083734000
PH086003160,Bagong Lipunan,ASM4,PH086003000
PH141102130,Bagong Lipunan (Market Area),ASM4,PH141102000
PH137404008,Bagong Lipunan Ng Crame,ASM4,PH137404000
PH166819002,Bagong Lungsod (Pob.),ASM4,PH166819000
PH097302005,Bagong Mandaue,ASM4,PH097302000
PH097302007,Bagong Maslog,ASM4,PH097302000
PH031403001,Bagong Nayon,ASM4,PH031403000
PH045802011,Bagong Nayon,ASM4,PH045802000
PH104206001,Bagong Nayon,ASM4,PH104206000
PH112406002,Bagong Negros,ASM4,PH112406000
PH045641002,Bagong Niing,ASM4,PH045641000
PH097323001,Bagong Opon,ASM4,PH097323000
PH097343001,Bagong Oroquieta,ASM4,PH097343000
PH097302008,Bagong Oslob,ASM4,PH097302000
PH031421056,Bagong Pag-asa,ASM4,PH031421000
PH137404009,Bagong Pag-asa,ASM4,PH137404000
PH043408003,Bagong Pag-Asa (Pob.),ASM4,PH043408000
PH043429002,Bagong Pag-Asa (Pob.),ASM4,PH043429000
PH175316004,Bagong Pag-Asa (Pob.),ASM4,PH175316000
PH015534013,Bagong Pag-asa (Poblacion East),ASM4,PH015534000
PH045633009,Bagong Pag-Asa Pob. (Barangay 3),ASM4,PH045633000
PH030809001,Bagong Paraiso (Pob.),ASM4,PH030809000
PH097302009,Bagong Pitogo,ASM4,PH097302000
PH041012004,Bagong Pook,ASM4,PH041012000
PH041013002,Bagong Pook,ASM4,PH041013000
PH041014007,Bagong Pook,ASM4,PH041014000
PH041017001,Bagong Pook,ASM4,PH041017000
PH041021003,Bagong Pook,ASM4,PH041021000
PH041022004,Bagong Pook,ASM4,PH041022000
PH043422002,Bagong Pook,ASM4,PH043422000
PH043427002,Bagong Pook,ASM4,PH043427000
PH043424002,Bagong Pook VI-C (Pob.),ASM4,PH043424000
PH084819003,Bagong Sabang,ASM4,PH084819000
PH050516006,Bagong San Roque,ASM4,PH050516000
PH023101006,Bagong Sikat,ASM4,PH023101000
PH023120002,Bagong Sikat,ASM4,PH023120000
PH023132002,Bagong Sikat,ASM4,PH023132000
PH034903003,Bagong Sikat,ASM4,PH034903000
PH034904002,Bagong Sikat,ASM4,PH034904000
PH034907001,Bagong Sikat,ASM4,PH034907000
PH034917001,Bagong Sikat,ASM4,PH034917000
PH034926004,Bagong Sikat,ASM4,PH034926000
PH034930002,Bagong Sikat,ASM4,PH034930000
PH041001002,Bagong Sikat,ASM4,PH041001000
PH041012005,Bagong Sikat,ASM4,PH041012000
PH051719004,Bagong Sikat,ASM4,PH051719000
PH175110003,Bagong Sikat,ASM4,PH175110000
PH175204001,Bagong Sikat,ASM4,PH175204000
PH175315022,Bagong Sikat,ASM4,PH175315000
PH175104011,Bagong Sikat (Pob.),ASM4,PH175104000
PH175316005,Bagong Sikat (Pob.),ASM4,PH175316000
PH023114101,Bagong Silang,ASM4,PH023114000
PH030803024,Bagong Silang,ASM4,PH030803000
PH031417002,Bagong Silang,ASM4,PH031417000
PH031421001,Bagong Silang,ASM4,PH031421000
PH034904003,Bagong Silang,ASM4,PH034904000
PH034930003,Bagong Silang,ASM4,PH034930000
PH041006004,Bagong Silang,ASM4,PH041006000
PH041008001,Bagong Silang,ASM4,PH041008000
PH043411002,Bagong Silang,ASM4,PH043411000
PH043413001,Bagong Silang,ASM4,PH043413000
PH043425001,Bagong Silang,ASM4,PH043425000
PH045605002,Bagong Silang,ASM4,PH045605000
PH045607009,Bagong Silang,ASM4,PH045607000
PH045618004,Bagong Silang,ASM4,PH045618000
PH045628004,Bagong Silang,ASM4,PH045628000
PH045638016,Bagong Silang,ASM4,PH045638000
PH045646003,Bagong Silang,ASM4,PH045646000
PH051712001,Bagong Silang,ASM4,PH051712000
PH051727002,Bagong Silang,ASM4,PH051727000
PH083705020,Bagong Silang,ASM4,PH083705000
PH086408024,Bagong Silang,ASM4,PH086408000
PH097209003,Bagong Silang,ASM4,PH097209000
PH097223013,Bagong Silang,ASM4,PH097223000
PH097308047,Bagong Silang,ASM4,PH097308000
PH098307002,Bagong Silang,ASM4,PH098307000
PH098313041,Bagong Silang,ASM4,PH098313000
PH103504031,Bagong Silang,ASM4,PH103504000
PH103505003,Bagong Silang,ASM4,PH103505000
PH104208002,Bagong Silang,ASM4,PH104208000
PH112406003,Bagong Silang,ASM4,PH112406000
PH118202020,Bagong Silang,ASM4,PH118202000
PH118205001,Bagong Silang,ASM4,PH118205000
PH137401002,Bagong Silang,ASM4,PH137401000
PH175215003,Bagong Silang,ASM4,PH175215000
PH042109040,Bagong Silang (Bahayang Pag-Asa),ASM4,PH042109000
PH064532002,Bagong Silang (Marcelo),ASM4,PH064532000
PH175316006,Bagong Silang (Pob.),ASM4,PH175316000
PH051606005,Bagong Silang I,ASM4,PH051606000
PH051606006,Bagong Silang II,ASM4,PH051606000
PH051606049,Bagong Silang III (Silang),ASM4,PH051606000
PH174005004,Bagong Silang Pob. (2nd Zone),ASM4,PH174005000
PH045633010,Bagong Silang Pob. (Barangay 4),ASM4,PH045633000
PH175107010,Bagong Silang Pob. (Bgy 5),ASM4,PH175107000
PH137404010,Bagong Silangan,ASM4,PH137404000
PH051728002,Bagong Sirang,ASM4,PH051728000
PH051729002,Bagong Sirang,ASM4,PH051729000
PH051734006,Bagong Sirang,ASM4,PH051734000
PH051735001,Bagong Sirang,ASM4,PH051735000
PH052002003,Bagong Sirang,ASM4,PH052002000
PH052008004,Bagong Sirang,ASM4,PH052008000
PH056206003,Bagong Sirang,ASM4,PH056206000
PH023103003,Bagong Tanza,ASM4,PH023103000
PH041007001,Bagong Tubig,ASM4,PH041007000
PH041024002,Bagong Tubig,ASM4,PH041024000
PH042119002,Bagong Tubig,ASM4,PH042119000
PH071245001,Bagongbanwa,ASM4,PH071245000
PH060405002,Bagongbayan,ASM4,PH060405000
PH060609043,Bagongbayan,ASM4,PH060609000
PH101306001,Bagongbayan,ASM4,PH101306000
PH051722003,Bagongbong,ASM4,PH051722000
PH063007004,Bagongbong,ASM4,PH063007000
PH063017005,Bagongbong,ASM4,PH063017000
PH063015006,Bagongon,ASM4,PH063015000
PH086005002,Bagongon,ASM4,PH086005000
PH118201001,Bagongon,ASM4,PH118201000
PH101315019,Bagongsilang,ASM4,PH101315000
PH101321001,Bagontaas,ASM4,PH101321000
PH124710001,Bagontapay,ASM4,PH124710000
PH101306002,Bagor,ASM4,PH101306000
PH064502005,Bagroy,ASM4,PH064502000
PH064503002,Bagroy,ASM4,PH064503000
PH050512003,Bagsa,ASM4,PH050512000
PH086022003,Bagsa,ASM4,PH086022000
PH166813001,Bagsac,ASM4,PH166813000
PH156609003,Bagsak,ASM4,PH156609000
PH156613002,Bagsak,ASM4,PH156613000
PH063002006,Bagsakan,ASM4,PH063002000
PH056209001,Bagsangan,ASM4,PH056209000
PH175901009,Bagsik,ASM4,PH175901000
PH175214001,Bagsok,ASM4,PH175214000
PH042120002,Bagtas,ASM4,PH042120000
PH060604003,Bagtason,ASM4,PH060604000
PH143208016,Bagtayan,ASM4,PH143208000
PH082618002,Bagte,ASM4,PH082618000
PH071213004,Bagtic,ASM4,PH071213000
PH072243003,Bagtic,ASM4,PH072243000
PH064526017,Bagtic,ASM4,PH064526000
PH074613003,Bagtic,ASM4,PH074613000
PH074614003,Bagtic,ASM4,PH074614000
PH074615002,Bagtic,ASM4,PH074615000
PH086407006,Bagtican,ASM4,PH086407000
PH034907002,Bagting,ASM4,PH034907000
PH097201048,Bagting (Pob.),ASM4,PH097201000
PH174002002,Bagtingon,ASM4,PH174002000
PH060408002,Bagto,ASM4,PH060408000
PH082619004,Bagtong,ASM4,PH082619000
PH037707002,Bagtu,ASM4,PH037707000
PH021501002,Bagu,ASM4,PH021501000
PH021518003,Bagu,ASM4,PH021518000
PH141103002,Bagu,ASM4,PH141103000
PH082609002,Bagua,ASM4,PH082609000
PH129804001,Bagua,ASM4,PH129804000
PH129804006,Bagua I,ASM4,PH129804000
PH129804007,Bagua II,ASM4,PH129804000
PH129804008,Bagua III,ASM4,PH129804000
PH104308004,Bagubad,ASM4,PH104308000
PH124705003,Baguer,ASM4,PH124705000
PH071220003,Baguhan,ASM4,PH071220000
PH071224005,Baguhan,ASM4,PH071224000
PH153605002,Baguiangun,ASM4,PH153605000
PH174005005,Baguidbirin,ASM4,PH174005000
PH103511002,Baguiguicon,ASM4,PH103511000
PH041006005,Baguilawa,ASM4,PH041006000
PH015525003,Baguinay,ASM4,PH015525000
PH083740001,Baguinbin,ASM4,PH083740000
PH150706017,Baguindan,ASM4,PH150706000
PH036901001,Baguindoc (Baguinloc),ASM4,PH036901000
PH142703004,Baguinge,ASM4,PH142703000
PH063045004,Baguingin,ASM4,PH063045000
PH063002005,Baguingin-Lanot,ASM4,PH063002000
PH045647013,Baguio,ASM4,PH045647000
PH112402007,Baguio (Pob.),ASM4,PH112402000
PH025703004,Baguio Village,ASM4,PH025703000
PH097343002,Baguitan,ASM4,PH097343000
PH086024001,Baguiw,ASM4,PH086024000
PH124709005,Bagumba,ASM4,PH124709000
PH104203003,Bagumbang,ASM4,PH104203000
PH043429003,Bagumbarangay (Pob.),ASM4,PH043429000
PH021516003,Bagumbayan,ASM4,PH021516000
PH021528005,Bagumbayan,ASM4,PH021528000
PH025008014,Bagumbayan,ASM4,PH025008000
PH030803001,Bagumbayan,ASM4,PH030803000
PH030811003,Bagumbayan,ASM4,PH030811000
PH031404002,Bagumbayan,ASM4,PH031404000
PH031405001,Bagumbayan,ASM4,PH031405000
PH041031007,Bagumbayan,ASM4,PH041031000
PH043426002,Bagumbayan,ASM4,PH043426000
PH043427003,Bagumbayan,ASM4,PH043427000
PH045801001,Bagumbayan,ASM4,PH045801000
PH045814001,Bagumbayan,ASM4,PH045814000
PH050503004,Bagumbayan,ASM4,PH050503000
PH050508005,Bagumbayan,ASM4,PH050508000
PH050510022,Bagumbayan,ASM4,PH050510000
PH050512004,Bagumbayan,ASM4,PH050512000
PH050518001,Bagumbayan,ASM4,PH050518000
PH051608002,Bagumbayan,ASM4,PH051608000
PH051701003,Bagumbayan,ASM4,PH051701000
PH051706002,Bagumbayan,ASM4,PH051706000
PH051718006,Bagumbayan,ASM4,PH051718000
PH052003002,Bagumbayan,ASM4,PH052003000
PH054105004,Bagumbayan,ASM4,PH054105000
PH054111004,Bagumbayan,ASM4,PH054111000
PH060607006,Bagumbayan,ASM4,PH060607000
PH060611003,Bagumbayan,ASM4,PH060611000
PH060614005,Bagumbayan,ASM4,PH060614000
PH063030008,Bagumbayan,ASM4,PH063030000
PH063040005,Bagumbayan,ASM4,PH063040000
PH063043003,Bagumbayan,ASM4,PH063043000
PH063045005,Bagumbayan,ASM4,PH063045000
PH071229003,Bagumbayan,ASM4,PH071229000
PH071234003,Bagumbayan,ASM4,PH071234000
PH083719004,Bagumbayan,ASM4,PH083719000
PH097214003,Bagumbayan,ASM4,PH097214000
PH112406004,Bagumbayan,ASM4,PH112406000
PH112408019,Bagumbayan,ASM4,PH112408000
PH112410003,Bagumbayan,ASM4,PH112410000
PH112507001,Bagumbayan,ASM4,PH112507000
PH124706005,Bagumbayan,ASM4,PH124706000
PH124714001,Bagumbayan,ASM4,PH124714000
PH126510001,Bagumbayan,ASM4,PH126510000
PH137404011,Bagumbayan,ASM4,PH137404000
PH137607002,Bagumbayan,ASM4,PH137607000
PH143213004,Bagumbayan,ASM4,PH143213000
PH153631002,Bagumbayan,ASM4,PH153631000
PH153637002,Bagumbayan,ASM4,PH153637000
PH153814001,Bagumbayan,ASM4,PH153814000
PH168503014,Bagumbayan,ASM4,PH168503000
PH064530003,Bagumbayan,ASM4,PH064530000
PH063002007,Bagumbayan-Ilajas,ASM4,PH063002000
PH023114011,Bagumbayan (Pob.),ASM4,PH023114000
PH030802001,Bagumbayan (Pob.),ASM4,PH030802000
PH030810002,Bagumbayan (Pob.),ASM4,PH030810000
PH034915016,Bagumbayan (Pob.),ASM4,PH034915000
PH043418001,Bagumbayan (Pob.),ASM4,PH043418000
PH045810001,Bagumbayan (Pob.),ASM4,PH045810000
PH103507001,Bagumbayan (Pob.),ASM4,PH103507000
PH175212001,Bagumbayan (Pob.),ASM4,PH175212000
PH051715002,Bagumbayan Grande (Pob.),ASM4,PH051715000
PH175203034,Bagumbayan I,ASM4,PH175203000
PH175203035,Bagumbayan II,ASM4,PH175203000
PH051724002,Bagumbayan Norte,ASM4,PH051724000
PH137503002,Bagumbayan North,ASM4,PH137503000
PH051715003,Bagumbayan Pequeño (Pob.),ASM4,PH051715000
PH063020003,Bagumbayan Pob. (Bagumbayan-Granada),ASM4,PH063020000
PH042108007,Bagumbayan Pob. (Bgy. 5),ASM4,PH042108000
PH137503003,Bagumbayan South,ASM4,PH137503000
PH051724003,Bagumbayan Sur,ASM4,PH051724000
PH045807001,Bagumbong,ASM4,PH045807000
PH153820001,Bagumbong,ASM4,PH153820000
PH137404007,Bagumbuhay,ASM4,PH137404000
PH063046006,Bagunanay,ASM4,PH063046000
PH021506009,Bagunot,ASM4,PH021506000
PH045628005,Bagupaye,ASM4,PH045628000
PH012809003,Bagut,ASM4,PH012809000
PH023136004,Bagutari,ASM4,PH023136000
PH148103004,Bagutong,ASM4,PH148103000
PH013303005,Bagutot,ASM4,PH013303000
PH166816001,Bagyang,ASM4,PH166816000
PH041008002,Baha,ASM4,PH041008000
PH097305002,Baha,ASM4,PH097305000
PH071224002,Bahan,ASM4,PH071224000
PH051718007,Bahao,ASM4,PH051718000
PH051735002,Bahao,ASM4,PH051735000
PH051711004,Bahay,ASM4,PH051711000
PH051718008,Bahay,ASM4,PH051718000
PH051727003,Bahay,ASM4,PH051727000
PH051733003,Bahay,ASM4,PH051733000
PH072246004,Bahay,ASM4,PH072246000
PH082621002,Bahay,ASM4,PH082621000
PH083701005,Bahay,ASM4,PH083701000
PH083741003,Bahay,ASM4,PH083741000
PH083743002,Bahay,ASM4,PH083743000
PH086016004,Bahay,ASM4,PH086016000
PH086020003,Bahay,ASM4,PH086020000
PH086406003,Bahay,ASM4,PH086406000
PH031412002,Bahay Pare,ASM4,PH031412000
PH035405001,Bahay Pare,ASM4,PH035405000
PH137404012,Bahay Toro,ASM4,PH137404000
