"Summary of Core ICT Indicators for Establishments Under Business Process Management (BPM) Activities: Philippines"

"Geolocation","Industry Description","Number of establishments 2013","Number of establishments 2015","Number of establishments 2017","Establishments with computers and communication equipment 2013","Establishments with computers and communication equipment 2015","Establishments with computers and communication equipment 2017","Establishments with internet access 2013","Establishments with internet access 2015","Establishments with internet access 2017","Number of employees 2013","Number of employees 2015","Number of employees 2017","Employees using computer routinely at work 2013","Employees using computer routinely at work 2015","Employees using computer routinely at work 2017","Employees using computer with internet connection routinely at work 2013","Employees using computer with internet connection routinely at work 2015","Employees using computer with internet connection routinely at work 2017","Establishments with web presence 2013","Establishments with web presence 2015","Establishments with web presence 2017","Establishments with intranet 2013","Establishments with intranet 2015","Establishments with intranet 2017","Establishments with extranet 2013","Establishments with extranet 2015","Establishments with extranet 2017","Establishments with wired local area network 2013","Establishments with wired local area network 2015","Establishments with wired local area network 2017","Establishments with wireless local area network 2013","Establishments with wireless local area network 2015","Establishments with wireless local area network 2017","Establishments with wide area network 2013","Establishments with wide area network 2015","Establishments with wide area network 2017","Establishments with e-commerce via the internet 2013","Establishments with e-commerce via the internet 2015","Establishments with e-commerce via the internet 2017","Establishments with e-commerce via network channels other than the internet 2013","Establishments with e-commerce via network channels other than the internet 2015","Establishments with e-commerce via network channels other than the internet 2017","Establishments with business transaction via cellular mobile phone/ smartphone 2013","Establishments with business transaction via cellular mobile phone/ smartphone 2015","Establishments with business transaction via cellular mobile phone/ smartphone 2017","Establishments which used the internet for finance accounting and auditing 2013","Establishments which used the internet for finance accounting and auditing 2015","Establishments which used the internet for finance accounting and auditing 2017","Establishments which used the internet for internal or external recruitment 2013","Establishments which used the internet for internal or external recruitment 2015","Establishments which used the internet for internal or external recruitment 2017","Establishments which used the internet for staff training 2013","Establishments which used the internet for staff training 2015","Establishments which used the internet for staff training 2017","Establishments which used the internet for sharing or distribution of information within the establishment 2013","Establishments which used the internet for sharing or distribution of information within the establishment 2015","Establishments which used the internet for sharing or distribution of information within the establishment 2017","Establishments which used the internet for sharing or distribution of information with other organizations 2013","Establishments which used the internet for sharing or distribution of information with other organizations 2015","Establishments which used the internet for sharing or distribution of information with other organizations 2017","Establishments which used the internet for obtaining information from other organizations 2013","Establishments which used the internet for obtaining information from other organizations 2015","Establishments which used the internet for obtaining information from other organizations 2017","Establishments which used the internet for obtaining information from government organizations 2013","Establishments which used the internet for obtaining information from government organizations 2015","Establishments which used the internet for obtaining information from government organizations 2017","Establishments which used the internet for downloading or requesting government forms 2013","Establishments which used the internet for downloading or requesting government forms 2015","Establishments which used the internet for downloading or requesting government forms 2017","Establishments which used the internet for completing forms on-line or sending completed forms 2013","Establishments which used the internet for completing forms on-line or sending completed forms 2015","Establishments which used the internet for completing forms on-line or sending completed forms 2017","Establishments which used the internet for making on-line payments to government corporations 2013","Establishments which used the internet for making on-line payments to government corporations 2015","Establishments which used the internet for making on-line payments to government corporations 2017","Establishments which used the internet for sending or receiving e-mails 2013","Establishments which used the internet for sending or receiving e-mails 2015","Establishments which used the internet for sending or receiving e-mails 2017","Establishments with Social Media Account 2013","Establishments with Social Media Account 2015","Establishments with Social Media Account 2017"
"..Cordillera Administrative Region (CAR)","..Other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Motion picture, video and television programme activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Motion picture, video and television programme post-production activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Computer programming activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Cordillera Administrative Region (CAR)","..Computer consultancy and computer facilities management activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Other information technology and computer service activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Data processing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Website hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Application hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Web portals",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Customer relationship management activities",3.0,..,7.0,100.0,..,100.0,100.0,..,100.0,2259.0,..,6546.0,100.0,..,100.0,100.0,..,100.0,33.3,..,57.1,100.0,..,85.7,66.7,..,71.4,66.7,..,100.0,100.0,..,85.7,66.7,..,71.4,33.3,..,0.0,33.3,..,0.0,0.0,..,14.3,100.0,..,100.0,100.0,..,100.0,100.0,..,57.1,100.0,..,100.0,66.7,..,57.1,66.7,..,57.1,100.0,..,100.0,100.0,..,100.0,100.0,..,100.0,66.7,..,71.4,..,..,57.1,..,..,57.1
"..Cordillera Administrative Region (CAR)","..Sales and marketing (including telemarketing) activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Cordillera Administrative Region (CAR)","..Other call centers activities (voice), n.e.c.",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Medical transcription activities",4.0,..,s,100.0,..,s,100.0,..,s,298.0,..,s,100.0,..,s,100.0,..,s,75.0,..,s,100.0,..,s,0.0,..,s,75.0,..,s,25.0,..,s,25.0,..,s,75.0,..,s,25.0,..,s,25.0,..,s,100.0,..,s,50.0,..,s,50.0,..,s,75.0,..,s,75.0,..,s,50.0,..,s,100.0,..,s,100.0,..,s,75.0,..,s,50.0,..,s,..,..,s,..,..,s
"..Cordillera Administrative Region (CAR)","..On-line employment placement agencies",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Finance and accounting activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Human resources and training activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Administrative support activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Document processes activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Payroll maintenance and other transaction processing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Legal services activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Other non-voice related activities, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Engineering outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Publishing outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Research and analysis activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Intellectual property research and documentation activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Other back office operations activities, n.e.c",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Product development activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","..Security outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","Business Process Management",10.0,..,4.0,100.0,..,100.0,100.0,..,100.0,1070.0,..,551.0,99.0,..,100.0,97.3,..,100.0,30.0,..,75.0,20.0,..,75.0,20.0,..,75.0,20.0,..,100.0,20.0,..,100.0,20.0,..,25.0,20.0,..,0.0,0.0,..,0.0,0.0,..,25.0,60.0,..,100.0,80.0,..,100.0,60.0,..,50.0,60.0,..,50.0,60.0,..,75.0,70.0,..,50.0,60.0,..,75.0,50.0,..,100.0,30.0,..,100.0,20.0,..,75.0,..,..,100.0,..,..,25.0
"..Region I (Ilocos Region)","..Software publishing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Other publishing activities",3.0,..,..,100.0,..,..,100.0,..,..,14.0,..,..,100.0,..,..,100.0,..,..,0.0,..,..,0.0,..,..,0.0,..,..,0.0,..,..,0.0,..,..,0.0,..,..,0.0,..,..,0.0,..,..,0.0,..,..,0.0,..,..,33.3,..,..,0.0,..,..,0.0,..,..,0.0,..,..,0.0,..,..,66.7,..,..,0.0,..,..,0.0,..,..,0.0,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Motion picture, video and television programme activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Motion picture, video and television programme post-production activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Computer programming activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region I (Ilocos Region)","..Computer consultancy and computer facilities management activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region I (Ilocos Region)","..Other information technology and computer service activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Data processing",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Website hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Application hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Web portals",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Customer relationship management activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region I (Ilocos Region)","..Sales and marketing (including telemarketing) activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Other call centers activities (voice), n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Medical transcription activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..On-line employment placement agencies",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Finance and accounting activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Human resources and training activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Administrative support activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Document processes activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Payroll maintenance and other transaction processing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Legal services activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Other non-voice related activities, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Engineering outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Publishing outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Research and analysis activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Intellectual property research and documentation activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Other back office operations activities, n.e.c",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Product development activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","..Security outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","Business Process Management",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Software publishing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
