"Table 2. Annual Per Capita Poverty Threshold and Poverty Incidence Among Population with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2015";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021p";"Poverty Incidence among Population (%) 2015";"Poverty Incidence among Population (%) 2018";"Poverty Incidence among Population (%) 2021p";"Coefficient of Variation 2015";"Coefficient of Variation 2018";"Coefficient of Variation 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....Biliran 2/, b/";21372;24216;28293;21;20;27;21;9;8;5;2;2;14;17;24;29;23;31
"....Eastern Samar 2/";25358;29070;28924;52;49;38;14;5;7;7;2;3;40;46;33;63;53;42
"....Leyte";21412;23574;26570;33;28;28;8;7;7;3;2;2;28;25;24;37;31;31
"....Northern Samar 1/, 2/";22775;25971;26572;60;34;26;10;7;8;6;2;2;51;30;23;70;38;29
"....Southern Leyte 1/";23968;25756;28799;41;24;22;15;8;8;6;2;2;31;20;19;51;27;24
"....Samar 1/";21298;23131;25259;49;29;34;14;9;7;7;2;2;38;25;30;60;33;38
"....Zamboanga del Norte 1/";24377;28523;33799;61;45;51;7;7;5;4;3;3;54;41;46;67;50;55
"....Zamboanga del Sur 2/";20444;23977;24066;25;24;18;11;7;8;3;2;2;21;21;16;30;26;21
"....Zamboanga Sibugay";21331;23054;24708;36;35;34;10;7;7;4;3;2;30;31;30;42;40;38
"....Isabela City 2/, a/, b/";22544;25870;23925;30;51;17;43;7;14;13;4;2;9;45;13;52;57;21
"....Bukidnon 1/";23993;25624;29040;54;28;29;6;7;9;3;2;2;48;24;25;60;31;33
"....Camiguin a/, b/";23908;26042;28514;36;24;21;34;9;10;12;2;2;16;20;17;57;28;24
"....Lanao del Norte 1/, 2/";22485;24450;28589;46;26;34;13;6;7;6;2;2;36;23;31;56;28;38
"....Misamis Occidental 1/";22261;24505;30062;45;27;25;9;8;9;4;2;2;39;23;21;51;30;29
"....Misamis Oriental 1/, 2/";22117;24118;28270;21;16;19;13;7;7;3;1;1;17;14;17;26;18;21
"....Davao del Norte 1/";23807;27034;27354;31;13;11;16;12;15;5;2;2;23;11;8;39;16;13
"....Davao del Sur 1/";23215;25807;29749;19;12;10;12;14;10;2;2;1;15;9;9;23;14;12
"....Davao Oriental 2/";22889;26347;27806;31;38;30;14;6;8;4;2;2;24;34;27;38;42;34
"....Davao de Oro";22092;25867;26161;27;25;24;13;8;9;3;2;2;21;22;20;32;28;27
"....Davao Occidental e/";..;25356;28511;..;41;43;..;6;7;..;3;3;..;37;39;..;45;48
"....Cotabato 1/";21237;25020;27473;43;29;32;8;10;9;4;3;3;37;25;27;49;34;37
"....Sarangani 1/";20037;23282;24070;53;42;41;10;8;7;5;3;3;44;36;37;62;48;46
"....South Cotabato";21356;25240;24455;23;18;17;12;10;9;3;2;2;18;15;14;27;21;19
"....Sultan Kudarat 1/";21212;23775;25295;50;31;30;17;8;9;8;3;3;36;27;26;64;36;35
"....Cotabato City a/";25581;30349;33890;49;42;40;19;6;7;9;3;3;33;38;35;64;46;44
"..Region XIII (Caraga) 1/, 2/";22788;25375;27335;40;31;33;5;3;3;2;1;1;36;29;31;43;32;35
"....Agusan del Norte 1/, 2/";20566;23775;27722;33;24;31;12;6;5;4;1;2;26;22;28;39;27;33
"....Agusan del Sur 1/";23108;24655;27821;48;38;41;8;6;6;4;2;2;41;34;37;54;42;45
"....Surigao Del Norte 2/";24662;28293;26444;37;34;28;12;6;11;4;2;3;30;31;23;44;38;33
"....Surigao Del Sur 1/, 2/";22859;24873;26441;41;25;31;10;8;7;4;2;2;34;22;27;47;29;35
"....Dinagat Islands b/";24257;26409;28907;44;33;33;20;10;10;9;3;3;29;27;28;58;38;39
"....Basilan 1/, 2/";21472;26951;26728;45;74;54;16;3;5;7;2;3;34;70;49;57;77;58
"....Lanao del Sur 2/";24421;29224;29083;77;71;11;5;3;10;4;2;1;71;68;9;83;75;13
"....Maguindanao 2/";20399;25368;25371;54;49;38;7;7;8;4;3;3;48;43;33;60;54;43
"....Sulu 1/, 2/";23115;29150;31782;69;82;63;8;2;4;5;2;3;60;80;58;77;85;67
"....Tawi-tawi 2/, b/";17666;21264;26336;18;22;37;31;8;9;6;2;3;9;19;31;27;25;42
