"Table 3. Annual Per Capita Food Threshold and Subsistence Incidence Among Families with Measures of Precision, by Region and Province:  2015, 2018, and 2021p"

"Geolocation";"Annual Per Capita Food Threshold (in PhP) 2015";"Annual Per Capita Food Threshold (in PhP) 2018";"Annual Per Capita Food Threshold (in PhP) 2021p";"Subsistence Incidence among Families (%) 2015";"Subsistence Incidence among Families (%) 2018";"Subsistence Incidence among Families (%) 2021p";"Coefficient of Variation 2015";"Coefficient of Variation 2018";"Coefficient of Variation 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....Occidental Mindoro 1/, 2/, b/, c/";13951;14923;18609;15.8;5.2;9.5;23.7;24.2;14.7;3.8;1.3;1.4;9.7;3.2;7.2;22.0;7.3;11.8
"....Oriental Mindoro 1/, 2/, b/, c/, d/";14193;16922;18371;6.8;1.9;5.4;37.1;31.4;20.4;2.5;0.6;1.1;2.6;0.9;3.6;10.9;2.9;7.2
"....Palawan b/, c/, d/";13740;16308;16788;2.2;1.8;2.0;38.7;29.1;26.3;0.9;0.5;0.5;0.8;0.9;1.1;3.6;2.7;2.9
"....Romblon 2/, b/";15253;16794;20122;6.3;5.0;9.6;23.0;16.8;12.1;1.4;0.8;1.2;3.9;3.6;7.7;8.6;6.4;11.5
"....Albay 1/";15618;17391;19083;6.6;3.2;4.0;18.9;18.4;18.6;1.3;0.6;0.7;4.6;2.2;2.8;8.7;4.2;5.2
"....Camarines Norte 1/, b/";16702;17512;19217;12.2;5.2;3.7;26.6;15.6;16.1;3.2;0.8;0.6;6.8;3.9;2.7;17.5;6.6;4.7
"....Camarines Sur 2/, b/";15984;16926;19998;7.4;5.3;10.5;21.9;15.9;11.5;1.6;0.8;1.2;4.7;3.9;8.5;10.1;6.6;12.5
"....Catanduanes 1/, b/";15131;17035;19569;13.0;3.5;4.1;32.2;17.3;15.8;4.2;0.6;0.7;6.1;2.5;3.1;19.9;4.5;5.2
"....Masbate 1/, b/";14250;15985;17828;10.8;5.3;5.9;21.4;15.4;15.9;2.3;0.8;0.9;7.0;4.0;4.4;14.5;6.6;7.5
"....Sorsogon 1/";16245;18172;18931;16.3;4.4;5.4;18.9;15.0;14.8;3.1;0.7;0.8;11.2;3.4;4.1;21.4;5.5;6.7
"....Aklan 2/, b/, c/";15491;16539;18752;0.6;1.1;4.1;94.6;37.2;15.9;0.5;0.4;0.6;0.0;0.4;3.0;1.4;1.7;5.1
"....Antique 2/, b/";14432;16820;18604;4.5;3.1;5.8;57.2;16.9;17.5;2.6;0.5;1.0;0.3;2.2;4.1;8.8;3.9;7.4
