"Table 1. Annual Per Capita Poverty Threshold and Poverty Incidence Among Families with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation","Annual Per Capita Poverty Threshold  (in PhP) 2015","Annual Per Capita Poverty Threshold  (in PhP) 2018","Annual Per Capita Poverty Threshold  (in PhP) 2021p","Poverty Incidence among Families (%) 2015","Poverty Incidence among Families (%) 2018","Poverty Incidence among Families (%) 2021p","Coefficient of Variation 2015","Coefficient of Variation 2018","Coefficient of Variation 2021p","Standard Error 2015","Standard Error 2018","Standard Error 2021p","90% Confidence Interval (Lower Limit) 2015","90% Confidence Interval (Lower Limit) 2018","90% Confidence Interval (Lower Limit) 2021p","90% Confidence Interval (Upper Limit) 2015","90% Confidence Interval (Upper Limit) 2018","90% Confidence Interval (Upper Limit) 2021p"
"....Oriental Mindoro 1/, 2/, b/",20345,24470,26265,15.3,7.3,12.8,20.4,19.0,14.7,3.1,1.4,1.9,10.2,5.0,9.7,20.4,9.6,15.9
"....Palawan b/",19709,23425,24127,12.6,8.2,9.4,21.9,12.7,10.9,2.8,1.0,1.0,8.1,6.5,7.7,17.2,9.9,11.1
"....Romblon 1/, 2/",21897,24087,28749,29.3,19.7,31.0,15.8,8.8,5.8,4.6,1.7,1.8,21.6,16.8,28.1,36.9,22.5,34.0
"....Albay",22328,24902,27346,18.5,15.0,15.4,12.7,9.9,10.1,2.3,1.5,1.6,14.6,12.5,12.9,22.3,17.4,18.0
"....Camarines Norte 1/, 2/",23940,25051,27571,35.1,22.4,16.6,14.4,7.1,9.8,5.1,1.6,1.6,26.8,19.8,13.9,43.5,25.0,19.2
"....Camarines Sur 1/, 2/",22874,24271,28651,28.5,21.0,29.8,9.6,8.7,7.1,2.7,1.8,2.1,24.0,17.9,26.3,33.0,24.0,33.3
"....Catanduanes 1/",21668,24380,28014,33.6,14.4,16.8,12.3,8.7,8.7,4.1,1.2,1.5,26.8,12.3,14.4,40.4,16.4,19.2
"....Masbate 1/, 2/",20406,22911,25545,35.5,25.8,20.2,11.0,7.5,8.7,3.9,1.9,1.8,29.1,22.6,17.3,42.0,29.0,23.1
"....Sorsogon 1/",23268,26069,27133,46.2,19.6,21.7,10.5,8.1,7.8,4.9,1.6,1.7,38.2,17.0,19.0,54.2,22.2,24.5
"....Aklan 2/, b/",22184,23745,26837,12.0,8.8,13.9,29.8,14.0,12.2,3.6,1.2,1.7,6.1,6.7,11.1,17.8,10.8,16.7
"....Antique 2/, b/",20672,24023,26633,18.4,12.9,18.2,30.4,10.5,9.6,5.6,1.4,1.8,9.2,10.7,15.4,27.6,15.2,21.1
