"Table 10. Income Gap with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation";"Income Gap (%) 2015";"Income Gap (%) 2018";"Income Gap (%) 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....Negros Oriental 1/";30.8;24.9;25.2;1.4;1.3;1.6;28.5;22.7;22.6;33.2;27.1;27.8
"....Siquijor 1/, a/";26.2;18.6;14.6;2.4;1.9;2.2;22.2;15.5;11.1;30.1;21.7;18.2
"....Biliran 1/, 2/";22.5;17.0;23.1;2.1;1.0;1.0;19.0;15.4;21.4;26.0;18.6;24.8
"....Eastern Samar 1/, 2/";32.7;27.5;25.4;2.9;0.8;0.8;28.0;26.2;24.1;37.4;28.8;26.7
"....Leyte 2/";23.4;21.8;24.8;1.0;1.0;1.1;21.7;20.2;23.1;25.1;23.4;26.6
"....Northern Samar 1/, 2/";32.3;21.4;19.2;1.6;0.9;0.8;29.6;20.0;17.9;35.0;22.9;20.6
"....Southern Leyte 1/";27.9;18.6;20.1;2.7;0.7;0.9;23.5;17.4;18.5;32.3;19.9;21.6
"....Samar 1/";29.5;22.0;22.7;2.6;1.2;1.1;25.2;20.0;20.9;33.9;24.1;24.5
"....Zamboanga del Norte 1/";30.7;27.5;29.3;1.6;0.9;1.1;28.1;25.9;27.5;33.3;29.0;31.1
"....Zamboanga del Sur";21.9;21.0;22.8;1.4;1.1;1.1;19.5;19.2;20.9;24.3;22.9;24.7
"....Zamboanga Sibugay 1/";19.1;22.5;24.2;1.4;1.0;1.0;16.8;20.9;22.7;21.5;24.0;25.8
"....Isabela City 1/, 2/, a/";18.8;23.4;16.8;1.5;1.4;1.5;16.4;21.1;14.3;21.3;25.8;19.4
"....Bukidnon 1/, 2/";32.4;20.0;25.0;1.6;0.9;1.2;29.8;18.5;23.0;35.0;21.5;27.1
"....Camiguin 1/, a/";27.0;18.9;21.3;3.1;1.2;1.7;22.0;16.9;18.5;32.1;20.9;24.0
"....Lanao del Norte 1/, 2/";30.7;18.7;25.7;2.6;0.7;1.4;26.5;17.4;23.4;35.0;19.9;28.1
"....Misamis Occidental 1/";24.3;19.2;18.7;2.4;1.1;1.0;20.3;17.4;17.1;28.2;21.0;20.2
"....Misamis Oriental 1/, 2/";23.3;19.0;20.9;2.3;0.9;0.7;19.5;17.6;19.8;27.1;20.4;22.0
"....Davao del Norte 1/";25.2;18.5;20.9;3.3;1.6;2.9;19.8;15.8;16.1;30.6;21.1;25.8
"....Davao del Sur";24.4;21.6;21.1;1.4;2.1;1.4;22.1;18.2;18.8;26.7;25.1;23.4
"....Davao Oriental 2/";20.2;21.6;19.1;1.7;0.8;1.2;17.5;20.3;17.2;23.0;23.0;21.1
"....Davao de Oro";19.9;21.3;20.4;1.8;1.1;1.5;17.0;19.5;18.0;22.9;23.0;22.8
"....Davao Occidental 2/, b/";..;21.3;25.4;..;1.0;1.2;..;19.6;23.4;..;23.0;27.3
"....Cotabato 1/";32.3;25.4;25.0;1.5;1.1;1.2;29.8;23.7;23.0;34.8;27.2;27.1
"....Sarangani 2/";33.8;31.9;27.8;3.1;2.0;1.2;28.7;28.6;25.8;38.9;35.2;29.8
"....South Cotabato";27.2;23.7;24.0;1.8;2.4;1.2;24.2;19.7;22.0;30.2;27.7;25.9
"....Sultan Kudarat 1/";37.3;26.9;25.0;2.5;1.5;1.1;33.2;24.4;23.1;41.4;29.4;26.8
"....Cotabato City a/";24.0;22.7;24.6;2.4;0.9;1.0;20.1;21.2;22.9;28.0;24.3;26.3
"..Region XIII (Caraga) 1/, 2/";26.6;22.5;24.1;0.9;0.5;0.5;25.1;21.7;23.4;28.0;23.2;24.9
"....Agusan del Norte 1/, 2/";26.9;22.8;24.9;1.8;0.7;0.7;23.9;21.6;23.7;29.9;23.9;26.1
"....Agusan del Sur 1/, 2/";28.1;22.9;25.2;1.7;1.0;0.8;25.2;21.3;23.9;31.0;24.6;26.5
"....Surigao Del Norte 1/";26.5;22.1;23.4;2.0;0.9;1.3;23.2;20.5;21.2;29.9;23.6;25.5
"....Surigao Del Sur";25.0;22.1;22.2;1.7;1.0;1.2;22.1;20.5;20.2;27.8;23.8;24.2
"....Dinagat Islands";24.0;21.0;22.6;3.0;1.4;1.5;19.1;18.8;20.1;29.0;23.3;25.1
"....Basilan 1/, 2/";17.6;30.8;26.1;0.6;0.9;1.0;16.6;29.3;24.4;18.5;32.4;27.8
"....Lanao del Sur 2/";32.2;30.3;10.4;1.7;1.0;0.8;29.4;28.7;9.1;34.9;32.0;11.7
"....Maguindanao 2/";27.6;25.1;21.4;1.7;1.1;1.1;24.8;23.4;19.6;30.4;26.9;23.3
"....Sulu 1/, 2/";20.9;27.4;24.5;1.0;0.7;1.1;19.3;26.3;22.7;22.5;28.5;26.3
"....Tawi-tawi 1/, 2/";11.7;15.8;21.5;1.9;0.8;1.0;8.6;14.5;19.8;14.9;17.2;23.1
