ADM2_PCODE,Attribute,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
PH137400000,GRDP At Current Prices,1237450701.0,1349240704.0,1435447457.0,1545711905.0,1743576537.0,1954778997.0,2176864045.0,2399583921.0,2655351616.0,2754035852.0,3053160348.0,3237138656.0,3553088571.0,3890702252.0,4215201150.0,4532443704.0,4928222539.0,5327124065.0,5814440130.0,6294194685.0,5800819179.0,6157504618.0,6888962938.0
PH137500000,GRDP At Constant 2018 Prices,2416391870.0,2483504980.0,2507171644.0,2624052475.0,2841837836.0,2988546218.0,3157102605.0,3372129301.0,3524902698.0,3522558104.0,3745124533.0,3833040760.0,4072189800.0,4339858704.0,4576914911.0,4865073608.0,5216091453.0,5507681038.0,5814440130.0,6224134457.0,5599931197.0,5845619151.0,6265608932.0
PH137500000,GRDP At Current Prices,1237450701.0,1349240704.0,1435447457.0,1545711905.0,1743576537.0,1954778997.0,2176864045.0,2399583921.0,2655351616.0,2754035852.0,3053160348.0,3237138656.0,3553088571.0,3890702252.0,4215201150.0,4532443704.0,4928222539.0,5327124065.0,5814440130.0,6294194685.0,5800819179.0,6157504618.0,6888962938.0
PH137600000,GRDP At Constant 2018 Prices,2416391870.0,2483504980.0,2507171644.0,2624052475.0,2841837836.0,2988546218.0,3157102605.0,3372129301.0,3524902698.0,3522558104.0,3745124533.0,3833040760.0,4072189800.0,4339858704.0,4576914911.0,4865073608.0,5216091453.0,5507681038.0,5814440130.0,6224134457.0,5599931197.0,5845619151.0,6265608932.0
PH137600000,GRDP At Current Prices,1237450701.0,1349240704.0,1435447457.0,1545711905.0,1743576537.0,1954778997.0,2176864045.0,2399583921.0,2655351616.0,2754035852.0,3053160348.0,3237138656.0,3553088571.0,3890702252.0,4215201150.0,4532443704.0,4928222539.0,5327124065.0,5814440130.0,6294194685.0,5800819179.0,6157504618.0,6888962938.0
PH140000000,GRDP At Constant 2018 Prices,143658283.0,149394641.0,156294714.0,164434850.0,173236667.0,176315299.0,182923099.0,196165501.0,203317240.0,207767713.0,220343710.0,221420475.0,221950621.0,236871362.0,248982342.0,259526063.0,266691916.0,291775205.0,308267122.0,321722276.0,288876582.0,310765858.0,337664054.0
PH140000000,GRDP At Current Prices,90446009.0,95301368.0,104838201.0,113075065.0,126064714.0,133005766.0,145857673.0,153956921.0,165532965.0,172017163.0,189766817.0,200486679.0,201836502.0,219989238.0,237096008.0,243673958.0,255584787.0,280805810.0,308267122.0,322106088.0,295502542.0,323883881.0,365945436.0
PH150000000,GRDP At Constant 2018 Prices,98017851.0,94136902.0,105745055.0,110826733.0,119752524.0,126327483.0,133711481.0,140661469.0,143109506.0,148174653.0,161737153.0,166414758.0,170707107.0,178542938.0,189848311.0,191818068.0,198444393.0,218512906.0,235393060.0,249157465.0,244524738.0,262884259.0,280267304.0
PH150000000,GRDP At Current Prices,45671649.0,44751362.0,53170834.0,57745738.0,71276682.0,79514046.0,89250281.0,94877985.0,104963626.0,111177863.0,131635468.0,141744037.0,154218301.0,165084288.0,178403975.0,172907713.0,184572658.0,210663685.0,235393060.0,254779370.0,260347879.0,284617149.0,326771477.0
PH170000000,GRDP At Constant 2018 Prices,124948855.0,129576632.0,148590811.0,163145111.0,169206374.0,184832219.0,191998208.0,210149963.0,220607038.0,230687037.0,232547423.0,241561347.0,254595082.0,265363628.0,292033215.0,305952533.0,321170118.0,341505717.0,370744808.0,386783632.0,357780630.0,369725008.0,392960370.0
PH170000000,GRDP At Current Prices,66182382.0,71908260.0,83490454.0,95423489.0,103521732.0,121806090.0,131197013.0,148513117.0,174989809.0,184665344.0,191713018.0,212158911.0,231318002.0,242953220.0,276139956.0,274605684.0,287300274.0,321948705.0,370744808.0,375589553.0,342643478.0,382709950.0,453006892.0
